Trade Date,Type,Cusip,Ticker,Security Type,Price USD,Quantity,Amount USD
06/26/2023,Reinvest,808524607,SCHA,Stock,0,0.78961,-33.29
06/26/2023,Dividend,808524201,SCHX,Stock,0,0,79.58
06/26/2023,Reinvest,808524201,SCHX,Stock,0,1.55672,-79.58
06/22/2023,DBS,,QACDS,Money Market,0,42.32,-42.32
06/22/2023,Dividend,316092600,FHLC,Stock,0,0,13.97
06/22/2023,Dividend,316092808,FTEC,Stock,0,0,62.36
06/22/2023,Reinvest,316092808,FTEC,Stock,0,0.49075,-62.36
06/22/2023,Dividend,316092873,FCOM,Stock,0,0,28.35
06/12/2023,DBS,,QACDS,Money Market,0,12.75,-12.75
06/12/2023,Dividend,70432V102,PAYC,Stock,0,0,12.75
06/08/2023,Dividend,594918104,MSFT,Stock,0,0,41.97
06/08/2023,Reinvest,594918104,MSFT,Stock,0,0.12937,-41.97
06/07/2023,Dividend,808524839,SCHZ,Stock,0,0,0.8
06/07/2023,Reinvest,808524839,SCHZ,Stock,0,0.01731,-0.8
06/01/2023,Interest,,QACDS,Money Market,0,0,0.05
06/01/2023,Reinvest,,QACDS,Money Market,0,0.05,-0.05
06/01/2023,Dividend,922906300,VMFXX,Money Market,0,0,1619.6
06/01/2023,Reinvest,922906300,VMFXX,Money Market,0,1619.6,-1619.6
05/18/2023,Dividend,037833100,AAPL,Stock,0,0,24.33
05/18/2023,Reinvest,037833100,AAPL,Stock,0,0.14041,-24.33
05/11/2023,WDL,,QACDS,Money Market,0,-0.35,0.35
05/10/2023,Dividend,N07059210,ASML,Stock,0,0,22.6
05/10/2023,Reinvest,N07059210,ASML,Stock,0,0.02935,-19.21
05/10/2023,FWT,N07059210,ASML,Stock,0,0,-3.39
05/10/2023,ADR,500255104,LKNCY,Stock,0,0,-0.3
05/10/2023,ADR,01609W102,BABA,Stock,0,0,-0.05
05/09/2023,Dividend,57636Q104,MA,Stock,0,0,20.21
05/09/2023,Reinvest,57636Q104,MA,Stock,0,0.05264,-20.21
05/05/2023,Dividend,808524839,SCHZ,Stock,0,0,0.73
05/05/2023,Reinvest,808524839,SCHZ,Stock,0,0.01557,-0.73
05/04/2023,Dividend,47215P106,JD,Stock,0,0,101.16
05/04/2023,Reinvest,47215P106,JD,Stock,0,2.78189,-97.9
05/04/2023,ADR,47215P106,JD,Stock,0,0,-3.26
05/01/2023,DBS,,QACDS,Money Market,0,502.87,-502.87
05/01/2023,Dividend,,VMSXX,Money Market,0,0,502.87
05/01/2023,Interest,,QACDS,Money Market,0,0,0.14
05/01/2023,Reinvest,,QACDS,Money Market,0,0.14,-0.14
05/01/2023,Dividend,922906300,VMFXX,Money Market,0,0,598.19
05/01/2023,Reinvest,922906300,VMFXX,Money Market,0,598.19,-598.19
04/24/2023,Dividend,579780206,MKC,Stock,0,0,16.35
04/24/2023,Reinvest,579780206,MKC,Stock,0,0.19033,-16.35
04/19/2023,WDL,,QACDS,Money Market,0,-381000,381000
04/19/2023,Buy,922906300,VMFXX,Money Market,1,381000,-381000
04/18/2023,DBS,,QACDS,Money Market,0,380039.43,-380039.43
04/18/2023,Sell,,VMSXX,Money Market,0,-380039.43,380039.43
04/17/2023,Dividend,316390483,FBSOX,Mutual Fund,0,0,0.21
04/17/2023,Reinvest,316390483,FBSOX,Mutual Fund,0,0.004,-0.21
04/17/2023,Dividend,053484101,AVB,Stock,0,0,31.91
04/17/2023,Reinvest,053484101,AVB,Stock,0,0.18643,-31.91
04/11/2023,Dividend,91822J103,MTN,Stock,0,0,32.12
04/11/2023,Reinvest,91822J103,MTN,Stock,0,0.13387,-32.12
04/10/2023,Dividend,808524839,SCHZ,Stock,0,0,0.82
04/10/2023,Reinvest,808524839,SCHZ,Stock,0,0.01747,-0.82
04/04/2023,Dividend,92204A884,VOX,Stock,0,0,44.02
04/04/2023,Reinvest,92204A884,VOX,Stock,0,0.46557,-44.02
04/04/2023,Dividend,92204A207,VDC,Stock,0,0,51.11
04/04/2023,Reinvest,92204A207,VDC,Stock,0,0.26564,-51.11
04/03/2023,Dividend,,VMSXX,Money Market,0,0,39.43
04/03/2023,Reinvest,,VMSXX,Money Market,0,39.43,-39.43
04/03/2023,Interest,,QACDS,Money Market,0,0,0.16
04/03/2023,Reinvest,,QACDS,Money Market,0,0.16,-0.16
03/31/2023,WDL,,QACDS,Money Market,0,-380000,380000
03/31/2023,Buy,,VMSXX,Money Market,1,380000,-380000
