Trade Date,Type,Ticker,Security Type,Price USD,Quantity,Amount USD
12/07/2022,Buy,SCHZ,ETF,23.40,0.02906,0.68
11/07/2022,Buy,SCHZ,ETF,22.22,0.0279,0.62
10/07/2022,Buy,SCHZ,ETF,22.54,0.03194,0.72
09/08/2022,Buy,SCHZ,ETF,23.58,0.02714,0.64
08/05/2022,Buy,SCHZ,ETF,24.19,0.02398,0.58
07/08/2022,Buy,SCHZ,ETF,23.86,0.0285,0.68
06/07/2022,Buy,SCHZ,ETF,24.15,0.02484,0.60
05/06/2022,Buy,SCHZ,ETF,24.01,0.02582,0.62
04/07/2022,Buy,SCHZ,ETF,24.85,0.02374,0.59
03/07/2022,Buy,SCHZ,ETF,25.96,0.02234,0.58
02/07/2022,Buy,SCHZ,ETF,26.10,0.02414,0.63
12/23/2021,Buy,SCHZ,ETF,26.95,0.02226,0.60
12/07/2021,Buy,SCHZ,ETF,27.09,0.02178,0.59
11/05/2021,Buy,SCHZ,ETF,27.19,0.0217,0.59
10/07/2021,Buy,SCHZ,ETF,27.08,0.02142,0.58
09/08/2021,Buy,SCHZ,ETF,27.38,0.02082,0.57
08/06/2021,Buy,SCHZ,ETF,27.50,0.02218,0.61
07/08/2021,Buy,SCHZ,ETF,27.50,0.02182,0.60
06/07/2021,Buy,SCHZ,ETF,27.14,0.021,0.57
05/07/2021,Buy,SCHZ,ETF,27.21,0.02352,0.64
04/08/2021,Buy,SCHZ,ETF,27.05,0.02292,0.62
03/05/2021,Buy,SCHZ,ETF,27.05,0.02292,0.62
02/05/2021,Buy,SCHZ,ETF,27.73,0.0238,0.66
12/23/2020,Buy,SCHZ,ETF,27.92,0.02328,0.65
12/07/2020,Buy,SCHZ,ETF,27.95,0.02218,0.62
11/06/2020,Buy,SCHZ,ETF,27.96,0.02468,0.69
10/07/2020,Buy,SCHZ,ETF,27.92,0.02364,0.66
09/08/2020,Buy,SCHZ,ETF,28.13,0.0224,0.63
08/07/2020,Buy,SCHZ,ETF,28.47,0.02564,0.73
07/08/2020,Buy,SCHZ,ETF,28.15,0.02416,0.68
06/05/2020,Buy,SCHZ,ETF,27.71,0.02454,0.68
05/07/2020,Buy,SCHZ,ETF,27.69,0.026,0.72
04/07/2020,Buy,SCHZ,ETF,27.36,0.02668,0.73
03/06/2020,Buy,SCHZ,ETF,28.04,0.02496,0.70
02/07/2020,Buy,SCHZ,ETF,27.12,0.0295,0.80
12/26/2019,Buy,SCHZ,ETF,26.72,0.0262,0.70
12/06/2019,Buy,SCHZ,ETF,26.77,0.02802,0.75
06/28/2018,Buy,SCHZ,ETF,25.32,12,303.83
03/14/2022,Buy,SHOP,Stock,52.29,100,5229.00
02/24/2022,Buy,SHOP,Stock,61.00,100,6100.00
02/22/2022,Buy,SHOP,Stock,63.11,100,6310.60
06/04/2020,Buy,SHOP,Stock,75.00,50,3750.00
06/04/2020,Buy,SHOP,Stock,73.00,100,7300.00
04/21/2020,Buy,SHOP,Stock,60.00,50,3000.00
02/24/2020,Buy,SHOP,Stock,49.88,50,2494.20
01/30/2020,Buy,SNPS,Stock,149.66,20,2993.20
03/14/2022,Buy,SPOT,Stock,119.14,30,3574.20
02/24/2022,Buy,SPOT,Stock,141.53,20,2830.50
03/12/2020,Buy,TSLA,Stock,38.70,150,5805.00
02/28/2020,Buy,TSLA,Stock,41.33,150,6200.00
02/26/2020,Buy,TSLA,Stock,53.00,150,7950.00
02/26/2020,Buy,TSLA,Stock,52.28,150,7842.62
04/16/2020,Buy,UAL,Stock,29.00,100,2900.00
